layerID	layerName	nodeTypes
3001	一层·初霜湖泽	3011|3012||3111|3201|3401|3601|3901||3001|3002
3002	二层·密静林地	3021|3022||3121|3201|3301|3401|3501|3601|3701|3801|3902||3001|3002
3003	三层·昧明冻土	3031|3032|3033||3131|3201|3301|3401|3501|3601|3701|3801|3903||3001|3002
3004	四层·积冰岩骸	3041|3042||3141|3202|3301|3401|3501|3601|3701|3801|3904||3001|3002
3005	五层·无瑕花园	3051|3052|3053||3151|3202|3301|3401|3501|3601|3701|3905||3001|3002
3011	隐藏层·远见之构	3061|3062|3063||3161|3202|3301|3401|3501|3601|3906||3001|3002
3012	隐藏层·永恒之尘	3061|3062|3064||3161|3202|3301|3401|3501|3601|3906||3001|3002
3021	隐藏层·深埋迷境（一层）	3021|3022||3122|3201|3301|3401|3601|3701||3001|3002
3022	隐藏层·深埋迷境（二层）	3021|3022||3122|3201|3301|3401|3601|3701||3001|3002
3023	隐藏层·深埋迷境（三层）	3031|3032||3132|3201|3301|3401|3601|3701||3001|3002
3024	隐藏层·深埋迷境（四层）	3041|3042||3142|3202|3301|3401|3601|3701||3001|3002
3025	隐藏层·深埋迷境（五层）	3051|3052||3152|3202|3301|3401|3601|3701||3001|3002
3026	隐藏层·深埋迷境（六层）	3061|3062||3162|3202|3301|3401|3601|3701||3001|3002
